1,"شقة للـ إيجار في مراسي","Apartment for rent in Marassi","شقة سكنية فاخرة في موقع متميز، تتميز بتشطيبات عالية الجودة (الترا سوبر لوكس). الشقة واسعة ومصممة بعناية لتوفير أقصى درجات الراحة. تطل على مساحات خضراء واسعة وقريبة من المولات والخدمات الرئيسية.","Luxury residential apartment in a prime location, featuring high-quality finishes (Ultra Super Lux). The apartment is spacious and carefully designed to provide maximum comfort. It overlooks vast green spaces and is close to malls and main services.",5362420.00,53624.20,rent,338.00,2,1,2,1998,,,approved,2,4,1,1,1,"2025-12-25 08:48:23","2026-01-07 16:11:13",30.72816600,30.98866500
2,"ستوديو للـ إيجار في مراسي","Studio for rent in Marassi","فيلا مستقلة رائعة بحديقة خاصة وحمام سباحة. الفيلا تقع في كمبوند هادئ وآمن، وتوفر خصوصية تامة. تتكون من طابقين وروف، مع مساحة معيشة كبيرة وغرف نوم ماستر.","Magnificent standalone villa with a private garden and swimming pool. The villa is located in a quiet and secure compound, offering complete privacy. It consists of two floors and a roof, with a large living area and master bedrooms.",5988634.00,59886.34,rent,377.00,6,4,2,1991,,,approved,5,4,8,1,3,"2025-12-25 08:48:23","2025-12-30 09:46:09",30.73006600,30.98256500
3,"توين هاوس للـ إيجار في مراسي","Twin House for rent in Marassi","وحدة تجارية (مكتب) في موقع حيوي بقلب المدينة. المكتب مجهز بالكامل وجاهز للعمل فوراً. المبنى حديث ويحتوي على مصاعد وأمن 24 ساعة، وقريب من وسائل المواصلات.","Commercial unit (office) in a vital location in the heart of the city. The office is fully equipped and ready for immediate work. The building is modern, featuring elevators and 24-hour security, and is close to transportation.",45051862.00,450518.62,rent,202.00,5,3,1,2003,,,approved,6,4,4,1,4,"2025-12-25 08:48:23","2025-12-30 09:46:09",30.72626600,30.99296500
4,"توين هاوس للـ بيع في مراسي","Twin House for sale in Marassi","شاليه بإطلالة مباشرة على البحر، مثالي لقضاء العطلات الصيفية. الشاليه مفروش بالكامل بأثاث مودرن، ويحتوي على تراس كبير. الكمبوند به حمامات سباحة وخدمات ترفيهية.","Chalet with a direct sea view, perfect for summer vacations. The chalet is fully furnished with modern furniture and has a large terrace. The compound has swimming pools and recreational services.",19836610.00,198366.10,sale,161.00,3,3,1,2014,,,approved,6,4,4,1,4,"2025-12-25 08:48:23","2025-12-30 09:46:09",30.73256600,30.98656500
5,"محلات للـ إيجار في مراسي","Shop for rent in Marassi","روف مميز بمساحة مبنية وتراس خارجي ضخم. يتمتع بفيو مفتوح ورائع للمدينة. فرصة مميزة لمحبي الخصوصية والهدوء وللإستمتاع بالهواء الطلق.","Distinctive penthouse with built-up area and a huge outdoor terrace. It enjoys a wonderful open view of the city. A unique opportunity for lovers of privacy and tranquility and enjoying the outdoors.",2362322.00,23623.22,rent,199.00,4,2,2,2025,,,approved,4,4,11,1,2,"2025-12-25 08:48:23","2025-12-30 09:46:09",30.72406600,30.97656500
6,"مكتب للـ إيجار في مراسي","Office for rent in Marassi","شقة دوبلكس بتصميم عصري وتشطيبات خاصة. تحتوي على ريسبشن كبير ومطبخ أمريكي. الموقع قريب جداً من المدارس والجامعات، مما يجعلها مثالية للعائلات.","Duplex apartment with modern design and special finishes. It features a large reception and an American kitchen. The location is very close to schools and universities, making it ideal for families.",2399887.00,23998.87,rent,242.00,4,3,2,2024,,,approved,5,4,10,1,4,"2025-12-25 08:48:23","2025-12-30 09:46:09",30.73966600,30.98316500
7,"تاون هاوس للـ بيع في ميفيدا","Townhouse for sale in Mivida","شقة سكنية فاخرة في موقع متميز، تتميز بتشطيبات عالية الجودة (الترا سوبر لوكس). الشقة واسعة ومصممة بعناية لتوفير أقصى درجات الراحة. تطل على مساحات خضراء واسعة وقريبة من المولات والخدمات الرئيسية.","Luxury residential apartment in a prime location, featuring high-quality finishes (Ultra Super Lux). The apartment is spacious and carefully designed to provide maximum comfort. It overlooks vast green spaces and is close to malls and main services.",5185982.00,51859.82,sale,488.00,4,4,0,2016,,,approved,5,9,3,2,1,"2025-12-25 08:48:24","2025-12-30 09:46:09",30.41732900,31.32372200
8,"ستوديو للـ بيع في ميفيدا","Studio for sale in Mivida","فيلا مستقلة رائعة بحديقة خاصة وحمام سباحة. الفيلا تقع في كمبوند هادئ وآمن، وتوفر خصوصية تامة. تتكون من طابقين وروف، مع مساحة معيشة كبيرة وغرف نوم ماستر.","Magnificent standalone villa with a private garden and swimming pool. The villa is located in a quiet and secure compound, offering complete privacy. It consists of two floors and a roof, with a large living area and master bedrooms.",7801437.00,78014.37,sale,493.00,5,1,0,1986,,,approved,3,9,8,2,3,"2025-12-25 08:48:24","2025-12-30 09:46:10",30.41852900,31.32782200
9,"مكتب للـ بيع في ميفيدا","Office for sale in Mivida","وحدة تجارية (مكتب) في موقع حيوي بقلب المدينة. المكتب مجهز بالكامل وجاهز للعمل فوراً. المبنى حديث ويحتوي على مصاعد وأمن 24 ساعة، وقريب من وسائل المواصلات.","Commercial unit (office) in a vital location in the heart of the city. The office is fully equipped and ready for immediate work. The building is modern, featuring elevators and 24-hour security, and is close to transportation.",4409152.00,44091.52,sale,247.00,1,3,0,1987,,,approved,6,9,10,2,8,"2025-12-25 08:48:24","2025-12-30 09:46:10",30.42512900,31.32302200
10,"دوبلكس للـ إيجار في ميفيدا","Duplex for rent in Mivida","شاليه بإطلالة مباشرة على البحر، مثالي لقضاء العطلات الصيفية. الشاليه مفروش بالكامل بأثاث مودرن، ويحتوي على تراس كبير. الكمبوند به حمامات سباحة وخدمات ترفيهية.","Chalet with a direct sea view, perfect for summer vacations. The chalet is fully furnished with modern furniture and has a large terrace. The compound has swimming pools and recreational services.",7380613.00,73806.13,rent,343.00,5,4,1,2018,,,approved,2,9,6,2,4,"2025-12-25 08:48:24","2025-12-30 09:46:10",30.42592900,31.31422200
