101,"تاون هاوس للـ بيع في بلوم فيلدز","Townhouse for sale in Bloomfields","روف مميز بمساحة مبنية وتراس خارجي ضخم. يتمتع بفيو مفتوح ورائع للمدينة. فرصة مميزة لمحبي الخصوصية والهدوء وللإستمتاع بالهواء الطلق.","Distinctive penthouse with built-up area and a huge outdoor terrace. It enjoys a wonderful open view of the city. A unique opportunity for lovers of privacy and tranquility and enjoying the outdoors.",5673570.00,56735.70,sale,271.00,3,1,1,2003,,,approved,6,9,3,13,7,"2025-12-25 08:48:33","2025-12-30 09:46:16",30.58062900,31.88143600
102,"دوبلكس للـ إيجار في بلوم فيلدز","Duplex for rent in Bloomfields","شقة دوبلكس بتصميم عصري وتشطيبات خاصة. تحتوي على ريسبشن كبير ومطبخ أمريكي. الموقع قريب جداً من المدارس والجامعات، مما يجعلها مثالية للعائلات.","Duplex apartment with modern design and special finishes. It features a large reception and an American kitchen. The location is very close to schools and universities, making it ideal for families.",2327317.00,23273.17,rent,355.00,1,3,0,2012,,,approved,3,9,6,13,1,"2025-12-25 08:48:33","2025-12-30 09:46:16",30.57422900,31.88773600
103,"شقة للـ بيع في بلوم فيلدز","Apartment for sale in Bloomfields","شقة سكنية فاخرة في موقع متميز، تتميز بتشطيبات عالية الجودة (الترا سوبر لوكس). الشقة واسعة ومصممة بعناية لتوفير أقصى درجات الراحة. تطل على مساحات خضراء واسعة وقريبة من المولات والخدمات الرئيسية.","Luxury residential apartment in a prime location, featuring high-quality finishes (Ultra Super Lux). The apartment is spacious and carefully designed to provide maximum comfort. It overlooks vast green spaces and is close to malls and main services.",6140793.00,61407.93,sale,117.00,4,2,0,2008,,,approved,4,9,1,13,4,"2025-12-25 08:48:34","2025-12-30 09:46:17",30.58312900,31.89273600
104,"عيادة للـ بيع في بلوم فيلدز","Clinic for sale in Bloomfields","فيلا مستقلة رائعة بحديقة خاصة وحمام سباحة. الفيلا تقع في كمبوند هادئ وآمن، وتوفر خصوصية تامة. تتكون من طابقين وروف، مع مساحة معيشة كبيرة وغرف نوم ماستر.","Magnificent standalone villa with a private garden and swimming pool. The villa is located in a quiet and secure compound, offering complete privacy. It consists of two floors and a roof, with a large living area and master bedrooms.",7827015.00,78270.15,sale,301.00,5,3,1,1998,,,approved,5,9,9,13,8,"2025-12-25 08:48:34","2025-12-30 09:46:17",30.56682900,31.88503600
105,"مكتب للـ بيع في بلوم فيلدز","Office for sale in Bloomfields","وحدة تجارية (مكتب) في موقع حيوي بقلب المدينة. المكتب مجهز بالكامل وجاهز للعمل فوراً. المبنى حديث ويحتوي على مصاعد وأمن 24 ساعة، وقريب من وسائل المواصلات.","Commercial unit (office) in a vital location in the heart of the city. The office is fully equipped and ready for immediate work. The building is modern, featuring elevators and 24-hour security, and is close to transportation.",7659458.00,76594.58,sale,343.00,3,3,1,2002,,,approved,3,9,10,13,8,"2025-12-25 08:48:34","2025-12-30 09:46:17",30.56772900,31.88083600
106,"شاليه للـ بيع في بلوم فيلدز","Chalet for sale in Bloomfields","شاليه بإطلالة مباشرة على البحر، مثالي لقضاء العطلات الصيفية. الشاليه مفروش بالكامل بأثاث مودرن، ويحتوي على تراس كبير. الكمبوند به حمامات سباحة وخدمات ترفيهية.","Chalet with a direct sea view, perfect for summer vacations. The chalet is fully furnished with modern furniture and has a large terrace. The compound has swimming pools and recreational services.",7770583.00,77705.83,sale,367.00,3,2,0,2011,,,approved,2,9,5,13,8,"2025-12-25 08:48:34","2025-12-30 09:46:17",30.56652900,31.89323600
119,"شقة دوبكس",duplex,"روف مميز بمساحة مبنية وتراس خارجي ضخم. يتمتع بفيو مفتوح ورائع للمدينة. فرصة مميزة لمحبي الخصوصية والهدوء وللإستمتاع بالهواء الطلق.","Distinctive penthouse with built-up area and a huge outdoor terrace. It enjoys a wonderful open view of the city. A unique opportunity for lovers of privacy and tranquility and enjoying the outdoors.",2000000.00,50000.00,rent,300.00,15,2,3,2015,1000.00,500.00,rented,18,1,2,1,1,"2025-12-27 12:17:59","2025-12-30 21:33:59",30.55550000,115.65445450
121,"شقة دوبكس",duplex,"كبيرة جدا","big area",2000000.00,50000.00,rent,300.00,15,2,3,2015,1000.00,500.00,pending,18,1,2,1,1,"2025-12-30 10:09:43","2025-12-30 10:09:43",30.55550000,115.65445450
126,"شقة دوبكس",duplex,"كبيرة جدا","big area",2000000.00,50000.00,rent,300.00,15,2,3,2015,1000.00,500.00,rented,18,1,2,1,1,"2025-12-30 21:32:43","2025-12-30 22:32:59",30.55550000,115.65445450
127,"شقة دوبكس",duplex,"كبيرة جدا","big area",2000000.00,50000.00,rent,300.00,15,2,3,2015,1000.00,500.00,pending,18,1,2,1,1,"2025-12-30 23:54:13","2025-12-30 23:54:13",30.55550000,115.65445450
128,"شقة دوبكس",duplex,"كبيرة جدا","big area",2000000.00,50000.00,rent,300.00,15,2,3,2015,1000.00,500.00,pending,35,1,2,1,1,"2026-01-05 12:47:58","2026-01-05 12:47:58",30.55550000,115.65445450
129,"شقة دوبكس",duplex,"كبيرة جدا","big area",2000000.00,50000.00,sale,300.00,15,2,3,2015,1000.00,500.00,approved,31,1,2,1,1,"2026-01-07 13:51:31","2026-01-07 13:52:06",30.55550000,115.65445450
130,"شقة دوبكس",duplex,"كبيرة جدا","big area",2000000.00,50000.00,sale,300.00,15,2,3,2015,1000.00,500.00,pending,31,1,2,1,1,"2026-01-12 10:27:49","2026-01-12 10:27:49",30.55550000,115.65445450
